ISO3,Market_Name,Commodity,Unit,Date,Value
AFG,Kabul,"Wheat - Retail",AFN/KG,2003-01-01,7.0
AFG,Kabul,"Wheat - Retail",AFN/KG,2003-02-01,7.0
AFG,Kabul,"Wheat - Retail",AFN/KG,2003-03-01,7.0
AFG,Kabul,"Wheat - Retail",AFN/KG,2003-04-01,7.0
AFG,Kabul,"Wheat - Retail",AFN/KG,2003-05-01,6.0
AFG,Kabul,"Wheat - Retail",AFN/KG,2003-06-01,7.0
AFG,Kabul,"Wheat - Retail",AFN/KG,2003-07-01,6.0
AFG,Kabul,"Wheat - Retail",AFN/KG,2003-08-01,6.4
AFG,Kabul,"Wheat - Retail",AFN/KG,2003-09-01,8.46
AFG,Kabul,"Wheat - Retail",AFN/KG,2003-10-01,8.12
AFG,Kabul,"Wheat - Retail",AFN/KG,2003-11-01,8.04
AFG,Kabul,"Wheat - Retail",AFN/KG,2003-12-01,8.38
AFG,Kabul,"Wheat - Retail",AFN/KG,2004-01-01,8.05
AFG,Kabul,"Wheat - Retail",AFN/KG,2004-02-01,8.0
AFG,Kabul,"Wheat - Retail",AFN/KG,2004-03-01,8.04
AFG,Kabul,"Wheat - Retail",AFN/KG,2004-04-01,8.25
AFG,Kabul,"Wheat - Retail",AFN/KG,2004-05-01,8.08
AFG,Kabul,"Wheat - Retail",AFN/KG,2004-06-01,8.25
AFG,Kabul,"Wheat - Retail",AFN/KG,2004-07-01,8.25
AFG,Kabul,"Wheat - Retail",AFN/KG,2004-08-01,7.75
AFG,Kabul,"Wheat - Retail",AFN/KG,2004-09-01,8.08
AFG,Kabul,"Wheat - Retail",AFN/KG,2004-10-01,10.92
AFG,Kabul,"Wheat - Retail",AFN/KG,2004-11-01,10.95
AFG,Kabul,"Wheat - Retail",AFN/KG,2004-12-01,11.38
AFG,Kabul,"Wheat - Retail",AFN/KG,2005-01-01,12.3
AFG,Kabul,"Wheat - Retail",AFN/KG,2005-02-01,12.64
AFG,Kabul,"Wheat - Retail",AFN/KG,2005-03-01,12.4
AFG,Kabul,"Wheat - Retail",AFN/KG,2005-04-01,12.45
AFG,Kabul,"Wheat - Retail",AFN/KG,2005-05-01,12.48
AFG,Kabul,"Wheat - Retail",AFN/KG,2005-06-01,12.38
AFG,Kabul,"Wheat - Retail",AFN/KG,2005-07-01,12.88
AFG,Kabul,"Wheat - Retail",AFN/KG,2005-08-01,13.3
AFG,Kabul,"Wheat - Retail",AFN/KG,2005-09-01,12.92
AFG,Kabul,"Wheat - Retail",AFN/KG,2005-10-01,12.62
AFG,Kabul,"Wheat - Retail",AFN/KG,2005-11-01,12.7
AFG,Kabul,"Wheat - Retail",AFN/KG,2005-12-01,12.35
AFG,Kabul,"Wheat - Retail",AFN/KG,2006-01-01,12.8
AFG,Kabul,"Wheat - Retail",AFN/KG,2006-02-01,12.8
